"","Name","Pos","Odds","TGP","AG","APIM","AA","AOTG","AGW","AHat"
"341","J. Schroe","LW",0.0137931034482759,58,0.0172413793103448,0.0689655172413793,0.0172413793103448,0,0,0
"342","J. Schult","D",0.293529411764706,170,0.0470588235294118,0.129411764705882,0.288235294117647,0.00588235294117647,0.00588235294117647,0
"343","J. Schwar","LW",0.780382775119617,209,0.220095693779904,0.277511961722488,0.406698564593301,0.00478468899521531,0.0239234449760766,0.0143540669856459
"344","J. Silfve","RW",0.302620087336245,229,0.283842794759825,0.323144104803493,0.266375545851528,0.00873362445414847,0.0436681222707424,0
"345","J. Skille","RW",0,55,0,0,0,0,0,0
"346","J. Skinne","LW",0.566666666666667,243,0.42798353909465,0.436213991769547,0.292181069958848,0.0246913580246914,0.065843621399177,0.00823045267489712
"347","J. Slavin","D",0.283333333333333,246,0.0975609756097561,0.186991869918699,0.276422764227642,0.0040650406504065,0.0121951219512195,0
"348","J. Spezza","C",0.259009009009009,222,0.108108108108108,0.315315315315315,0.252252252252252,0,0.0225225225225225,0
"349","J. Spurge","D",0.395433789954338,219,0.168949771689498,0.219178082191781,0.392694063926941,0.0045662100456621,0.0091324200913242,0
"350","J. Staal","C",0.299509803921569,204,0.200980392156863,0.382352941176471,0.299019607843137,0,0.0196078431372549,0
"351","J. Tavare","C",1.23360995850622,241,0.54356846473029,0.390041493775934,0.535269709543568,0.016597510373444,0.0788381742738589,0.024896265560166
"352","J. Thornt","C",0.744221105527638,199,0.226130653266332,0.391959798994975,0.467336683417085,0,0.0452261306532663,0.0100502512562814
"353","J. Toews","C",1.02916666666667,228,0.394736842105263,0.557017543859649,0.543859649122807,0.0219298245614035,0.0526315789473684,0.0175438596491228
"354","J. Tootoo","RW",0,50,0,0,0,0,0,0
"355","J. Trouba","D",0.525380710659898,197,0.0964467005076142,0.761421319796954,0.532994923857868,0.0101522842639594,0.0203045685279188,0
"356","J. van Ri","LW",0.850218340611354,229,0.393013100436681,0.2882096069869,0.262008733624454,0,0.0567685589519651,0.0218340611353712
"357","J. Vesey","LW",0.337083333333333,240,0.2125,0.258333333333333,0.195833333333333,0,0.05,0.00416666666666667
"358","J. Virtan","RW",0.169677419354839,155,0.258064516129032,0.864516129032258,0.193548387096774,0,0.0193548387096774,0
"359","J. Vorace","RW",0.661157024793388,242,0.247933884297521,0.413223140495868,0.648760330578512,0.00413223140495868,0.0289256198347107,0
"360","J. Vrana","LW",0.378977272727273,176,0.346590909090909,0.375,0.340909090909091,0,0.0568181818181818,0
"361","J. Ward","RW",0.0615384615384615,130,0.0384615384615385,0.153846153846154,0.0538461538461538,0,0.0153846153846154,0
"362","J. Weal","C",0.261935483870968,155,0.154838709677419,0.309677419354839,0.251612903225806,0.00645161290322581,0.0193548387096774,0
"363","J. Willia","RW",0.409016393442623,244,0.254098360655738,0.590163934426229,0.389344262295082,0,0.0491803278688525,0
"364","J. Zucker","LW",0.669421487603306,242,0.309917355371901,0.413223140495868,0.301652892561983,0.00826446280991736,0.0702479338842975,0.012396694214876
"365","K. Agosti","LW",0.445333333333333,75,0.16,0.96,0.493333333333333,0,0,0
"366","K. Alzner","D",0.0624277456647399,173,0.00578034682080925,0.254335260115607,0.0751445086705202,0,0,0
"367","K. Bieksa","D",0.0275,140,0,0.592857142857143,0.0571428571428571,0,0,0
"368","K. Brodzi","C",0.136590909090909,220,0.1,0.45,0.131818181818182,0,0.0272727272727273,0
"369","K. Cliffo","LW",0.0820512820512821,195,0.143589743589744,1.23076923076923,0.123076923076923,0,0.0205128205128205,0
"370","K. Connau","D",0.161904761904762,147,0.0884353741496599,0.435374149659864,0.163265306122449,0,0.0204081632653061,0
"371","K. Connor","LW",0.884269662921348,178,0.556179775280899,0.292134831460674,0.50561797752809,0.0168539325842697,0.0955056179775281,0.0112359550561798
"372","K. Dahlbe","D",0.0388157894736842,76,0.0131578947368421,0.276315789473684,0.0526315789473684,0,0,0
"373","K. Fiala","LW",0.369124423963134,217,0.225806451612903,0.451612903225806,0.354838709677419,0,0.0368663594470046,0
"374","K. Gravel","D",0.0841584158415841,101,0,0.099009900990099,0.0891089108910891,0,0,0
"375","K. Hayes","C",0.443497757847534,223,0.282511210762332,0.188340807174888,0.408071748878924,0.00896860986547085,0.0358744394618834,0
"376","K. Holzer","D",0.07,70,0.0285714285714286,0.314285714285714,0.0857142857142857,0,0,0
"377","K. Kapane","RW",0.45241935483871,124,0.379032258064516,0.467741935483871,0.403225806451613,0.0161290322580645,0.0564516129032258,0
"378","K. Klein","D",0,60,0,0,0,0,0,0
"379","K. Labanc","RW",0.78411214953271,214,0.210280373831776,0.485981308411215,0.5,0.0233644859813084,0.0514018691588785,0.00934579439252336
"380","K. Letang","D",0.667027027027027,185,0.221621621621622,0.821621621621622,0.659459459459459,0.0108108108108108,0.0378378378378378,0
"381","K. Miller","D",0.133333333333333,165,0.00606060606060606,0.848484848484849,0.175757575757576,0,0,0
"382","K. Okposo","RW",0.268949771689498,219,0.19634703196347,0.557077625570776,0.269406392694064,0,0.0273972602739726,0
"383","K. Palmie","RW",0.320833333333333,216,0.361111111111111,0.527777777777778,0.305555555555556,0,0.0416666666666667,0
"384","K. Quince","D",0.0175824175824176,91,0,0.307692307692308,0.032967032967033,0,0,0
"385","K. Russel","D",0.18302752293578,218,0.0458715596330275,0.284403669724771,0.197247706422018,0,0,0
"386","K. Shatte","D",0.34070351758794,199,0.0452261306532663,0.422110552763819,0.351758793969849,0.0050251256281407,0.0050251256281407,0
"387","K. Turris","C",0.317703349282297,209,0.143540669856459,0.440191387559809,0.320574162679426,0.00956937799043062,0.00956937799043062,0
"388","K. Verste","RW",0.0612903225806452,93,0.032258064516129,0.0645161290322581,0.0537634408602151,0,0.010752688172043,0
"389","K. Yandle","D",0.61890243902439,246,0.105691056910569,0.548780487804878,0.626016260162602,0,0.0203252032520325,0
"390","L. Bouma","LW",0.0456140350877193,114,0.0263157894736842,0.315789473684211,0.0526315789473684,0,0.0087719298245614,0
"391","L. Coutur","C",0.844396551724138,232,0.379310344827586,0.267241379310345,0.487068965517241,0.00431034482758621,0.0431034482758621,0.0129310344827586
"392","L. Crouse","LW",0.139939024390244,164,0.140243902439024,0.859756097560976,0.170731707317073,0,0.0121951219512195,0
"393","L. Draisa","C",0.893801652892562,242,0.516528925619835,0.553719008264463,0.640495867768595,0.0289256198347107,0.0454545454545455,0.00826446280991736
"394","L. Eller","C",0.273251028806584,243,0.181069958847737,0.460905349794239,0.271604938271605,0.00823045267489712,0.0164609053497942,0
"395","L. Erikss","LW",0.258163265306122,196,0.163265306122449,0.244897959183673,0.25,0,0.0204081632653061,0
"396","L. Glende","C",0.16131221719457,221,0.14027149321267,0.212669683257919,0.153846153846154,0,0.0180995475113122,0
"397","L. Komaro","RW",0.202731092436975,238,0.0798319327731092,0.483193277310924,0.218487394957983,0,0.00840336134453781,0
"398","L. Korpik","LW",0,69,0,0,0,0,0,0
"399","L. Sbisa","D",0.106198347107438,121,0.0165289256198347,0.190082644628099,0.115702479338843,0,0,0
"400","L. Schenn","D",0.0455357142857143,168,0.00595238095238095,0.398809523809524,0.0595238095238095,0,0.00595238095238095,0
"401","L. Sedlak","C",0.0367283950617284,162,0.0740740740740741,0.253086419753086,0.0493827160493827,0,0,0
"402","L. Shaw","RW",0.0818897637795276,127,0.031496062992126,0.094488188976378,0.078740157480315,0,0.0078740157480315,0
"403","L. Stempn","RW",0.0479338842975207,121,0.0247933884297521,0.0330578512396694,0.0495867768595041,0,0,0
"404","L. Wallma","C",0.403,100,0.21,0.74,0.36,0,0.08,0
"405","L. Witkow","D",0.0131313131313131,99,0.0101010101010101,1.15151515151515,0.0707070707070707,0,0,0
"406","M. Backlu","C",0.357916666666667,240,0.233333333333333,0.758333333333333,0.345833333333333,0.00833333333333333,0.0416666666666667,0
