C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
282,I. Barbas,C,STL,80,14,12,26,17,5,0,0,0,0,2,0,0,1,0,2,1,60,-4,28,0.3,1.48,1.48,
283,D. Simon,RW,PIT,71,8,20,28,18,0,0,0,1,2,0,0,0,0,0,0,0,121,8,28,0.4,0.75,0.75,
284,A. Kempe,C,LA,81,12,16,28,50,0,5,1,0,4,0,0,0,2,0,0,0,118,-10,28,0.3,1.25,2,
285,C. Jarnkr,C,NAS,79,10,16,26,12,0,1,0,1,1,1,0,0,1,0,0,1,106,13,28,0.4,2.2,2,
286,L. Wallma,C,CAR,81,10,18,28,36,0,0,0,2,5,0,0,0,4,0,1,0,131,-8,28,0.3,0.7,0.68,
287,P. Maroon,LW,TB,74,10,18,28,64,30,0,0,2,9,0,0,0,3,0,0,0,118,-3,28,0.4,0.9,0.9,
288,J. Staal,C,CAR,50,11,17,28,26,0,0,0,0,2,0,0,0,1,0,0,0,121,6,28,0.6,6,6,
289,H. Lindho,D,ANA,76,6,22,28,44,0,0,0,1,5,0,1,0,0,0,4,0,125,-5,28,0.4,5.25,5.21,
290,K. Shatte,D,TB,73,2,26,28,20,0,8,5,1,6,0,0,0,0,0,0,0,148,-15,28,0.4,1.75,1.75,
291,C. Parayk,D,STL,80,10,18,28,15,5,0,0,4,4,0,1,1,3,0,0,0,176,20,28,0.3,5.53,5.5,
292,Z. Smith,LW,CHI,70,9,19,28,81,15,0,0,0,0,1,2,0,1,0,1,0,101,-6,28,0.4,3.25,3.25,
293,O. Klefbo,D,EDM,61,5,23,28,16,0,0,0,1,10,0,0,1,2,0,0,0,167,-11,28,0.5,4.5,4.17,
294,B. Seabro,D,CHI,78,5,23,28,41,5,0,0,2,8,0,1,0,1,0,0,0,165,-6,28,0.4,7.5,6.88,
295,N. Cousin,C,MON,81,7,20,27,35,5,6,2,1,2,0,0,0,2,0,0,0,144,-8,27,0.3,1,1,
296,S. Girard,D,COL,82,4,23,27,6,0,0,0,0,9,0,0,0,0,0,0,0,116,8,27,0.3,0.7,0.73,
