C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
331,B. Perlin,LW,CHI,57,14,7,21,20,0,3,2,3,2,0,0,0,2,0,0,0,92,-4,21,0.4,0.87,0.87,
332,C. Stewar,RW,PHI,79,13,8,21,94,50,2,2,0,2,0,0,0,0,0,0,0,82,3,21,0.3,-,-,
333,M. Gabori,RW,OTT,56,10,11,21,18,0,3,0,3,2,0,0,0,3,0,0,0,123,-4,21,0.4,3.18,4.88,
334,A. Ekblad,D,FLA,68,10,11,21,58,0,1,0,4,4,1,0,1,2,0,0,0,225,-23,21,0.3,9,7.5,
335,D. Staffo,RW,MIN,58,8,13,21,24,0,2,0,3,1,0,0,0,3,0,0,0,109,6,21,0.4,-,-,
336,J. Abdelk,LW,DET,64,7,14,21,50,10,0,0,5,2,0,1,1,1,0,0,0,104,-20,21,0.3,4.75,4.25,
337,J. Fast,RW,NYR,68,6,15,21,16,0,0,0,0,0,0,0,0,1,0,0,0,56,6,21,0.3,1.95,1.85,
338,A. Edler,D,VAN,68,6,15,21,36,0,0,0,2,2,0,0,0,0,0,0,0,138,-20,21,0.3,7,6,
339,S. Stamko,C,TB,17,9,11,20,14,0,2,0,3,4,0,0,0,1,0,0,0,58,3,20,1.2,9.5,8.5,
340,K. Labanc,RW,SJ,55,8,12,20,22,0,1,1,0,2,0,0,1,2,0,0,0,70,9,20,0.4,1,1,
341,B. Comeau,LW,DAL,77,8,12,20,58,0,0,0,2,0,1,0,0,1,0,1,0,103,-19,20,0.3,2.6,2.4,
342,P. Buchne,RW,NYR,41,8,12,20,13,5,0,0,1,2,0,0,0,0,0,1,0,55,6,20,0.5,3,3.25,
343,L. Korpik,LW,CLB,69,8,12,20,10,0,0,0,0,0,0,1,0,0,0,0,0,108,5,20,0.3,-,-,
344,O. Lindbe,LW,OTT,65,8,12,20,32,0,0,0,0,1,0,0,0,1,0,0,0,86,2,20,0.3,-,-,
345,J. Hansen,RW,SJ,43,8,12,20,34,10,0,0,0,0,0,0,0,1,0,0,0,73,2,20,0.5,-,-,
346,J. Chychr,D,ARI,68,7,13,20,47,5,1,0,1,1,0,0,0,0,0,0,0,86,-14,20,0.3,2.6,4.6,
